"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1011,"NCT04345289","Efficacy and Safety of Novel Treatment Options for Adults With COVID-19 Pneumonia","CCAP","Not yet recruiting","No Results Available","COVID|Corona Virus Infection|Viral Pneumonia","Biological: Convalescent anti-SARS-CoV-2 plasma|Drug: Sarilumab|Drug: Baricitinib|Drug: Hydroxychloroquine|Other: Injective placebo|Other: Oral placebo","All-cause mortality or need of invasive mechanical ventilation|Frequency of adverse events|Frequency of severe adverse events|Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status|Ventilator-free days|Organ failure-free days|Duration of ICU stay|Mortality rate|Length of hospital stay|Duration of supplemental oxygen","Thomas Benfield|Hvidovre University Hospital","All","18 Years and older   (Adult, Older Adult)","Phase 3","1500","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","25032020|2020-001367-88","April 20, 2020","June 15, 2021","June 15, 2021","April 14, 2020",,"April 14, 2020","Aalborg University Hospital, Aalborg, Denmark|Aarhus University Hospital, Arhus, Denmark|Bispebjerg Hospital, Copenhagen, Denmark|Rigshospitalet, Copenhagen, Denmark|Herlev Gentofte Hospital, Herlev, Denmark|Herning Hospital, Herning, Denmark|Nordsjællands Hospital, Hillerød, Denmark|Hvidovre Hospital, Hvidovre, Denmark|Kolding Hospital, Kolding, Denmark|Odense University Hospital, Odense, Denmark|Roskilde Hospital, Roskilde, Denmark|Vejle Hospital, Vejle, Denmark",,"https://ClinicalTrials.gov/show/NCT04345289"
1012,"NCT04360837","PEEP Incremental and Decremental Alveolar Recruitment of Critically Ill Corona Virus Disease-19 (COVID-19) Patients",,"Recruiting","No Results Available","COVID-19|Virus; Pneumonia|Atelectasis","Procedure: alveolar recruitment","Changes in lung compliance|Change in global impedance|Change in recruitability|Gas exchange|Plateau pressure|End expiratory lung impedance (EELI)|Antero-to-posterior ventilation ratio|Center of ventilation|Global inhomogeneity index","Szeged University|Furtwangen University|BUDAPEST UNIVERSITY OF TECHNOLOGY AND ECONOMICS","All","18 Years to 99 Years   (Adult, Older Adult)","Not Applicable","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","COVID-19EIT","May 6, 2020","June 1, 2021","June 1, 2021","April 24, 2020",,"May 21, 2020","University of Szeged, Szeged, Hungary",,"https://ClinicalTrials.gov/show/NCT04360837"
1013,"NCT04303507","Chloroquine/ Hydroxychloroquine Prevention of Coronavirus Disease (COVID-19) in the Healthcare Setting","COPCOV","Recruiting","No Results Available","COVID19|Coronavirus|Acute Respiratory Illnesses","Drug: Chloroquine or Hydroxychloroquine|Drug: Placebo","Number of symptomatic COVID-19 infections|Symptoms severity of COVID-19|Number of asymptomatic cases of COVID-19|Number of symptomatic acute respiratory illnesses|Severity of symptomatic acute respiratory illnesses","University of Oxford","All","16 Years and older   (Child, Adult, Older Adult)","Not Applicable","40000","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention","VIR20001","April 29, 2020","April 2021","April 2021","March 11, 2020",,"May 21, 2020","Faculty of Tropical Medicine, Mahidol University, Bangkok, Thailand",,"https://ClinicalTrials.gov/show/NCT04303507"
1014,"NCT04385121","Psychological Impact of the Hospitalization of a Family Member in Intensive Care for Covid-19 Infection","Familles-COVID","Not yet recruiting","No Results Available","Covid-19|Stress Disorders, Post-Traumatic|Anxiety|Depression","Other: Questionnary","Existence of a post-intensive care syndrome-family ((combined score of the HAD ( Hospital Anxiety and Dépression scale) and IES-R ( Impact of Event Scale-Revised) questionnaires))","University Hospital, Strasbourg, France","All","18 Years and older   (Adult, Older Adult)",,"60","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","7761","May 2020","May 2020","February 2021","May 12, 2020",,"May 12, 2020","Les Hôpitaux Universitaires de Strasbourg, Strasbourg, France",,"https://ClinicalTrials.gov/show/NCT04385121"
1015,"NCT04355442","Evolution of Facial Trauma During COVID Containment Measures","Traumax","Enrolling by invitation","No Results Available","Maxillofacial Injuries|Skull Fractures|COVID-19","Procedure: Facial fractures reduction or osteosynthesis","evolution of number of maxillofacial trauma|variability in terms of type of trauma|Comparative assessment of types of trauma by the inter-regional variability","University Hospital, Montpellier|Unités de CMF des CHU de Paris (Dr Davrou - Pitié salpetrière)|Amiens (Dr Dapke)|Nantes (Pr Corre)|Toulouse (Pr Lauwers - Purpan)|Marseille (Dr Foletti – La conception)|Nice (Dr Savoldelli)|Clermont Ferrand (Dr Sesque)|Perpignan (Dr Llobet)|Lyon (Dr Bourlet – Croix Rousse)","All","Child, Adult, Older Adult",,"300","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","RECHMPL20_0228","April 1, 2020","May 1, 2020","May 30, 2020","April 21, 2020",,"April 30, 2020","Uh Montpellier, Montpellier, France",,"https://ClinicalTrials.gov/show/NCT04355442"
1016,"NCT04395911","Safety and Efficacy of SCD in AKI or ARDS Patients Associated With COVID-19 Infections",,"Not yet recruiting","No Results Available","AKI|ARDS|COVID","Device: SCD","Mortality at Day 60|Dialysis Dependency|Ventilation at Day 28|Mortality at Day 28|Urinary output change|P02/FiO2 change|Safety Assessments|SCD Integrity","SeaStar Medical","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","35","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SCD-005","June 2020","September 2020","December 2020","May 20, 2020",,"May 20, 2020",,,"https://ClinicalTrials.gov/show/NCT04395911"
1017,"NCT04370015","Hydroxychloroquine Chemoprophylaxis for COVID-19 Infection in High-risk Healthcare Workers.",,"Not yet recruiting","No Results Available","SARS-CoV-2|Healthcare Workers","Drug: Hydroxychloroquine|Drug: Placebo oral tablet","Prevention of SARS-CoV-2 as determined by negative RT-PCR at the end of 12 week study period|Safety as determined by presence or absence of any adverse event related with hydroxychloroquine treatment|Confirmed SARS-CoV-2 infection based on symptoms and confirmed by RT-PCR|Clinical disease severity in confirmed SARS-CoV-2 participants|Incidence of any acute respiratory infection","Services Institute of Medical Sciences, Pakistan","All","18 Years to 60 Years   (Adult)","Not Applicable","374","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","16082019","May 15, 2020","June 30, 2020","October 15, 2020","April 30, 2020",,"May 6, 2020",,,"https://ClinicalTrials.gov/show/NCT04370015"
1018,"NCT04347941","Awake Prone Positioning to Reduce Invasive VEntilation in COVID-19 Induced Acute Respiratory failurE","APPROVE-CARE","Not yet recruiting","No Results Available","ARDS, Human|Mechanical Ventilation Complication|COVID19","Procedure: Prone Positioning|Procedure: Standard of care.","The effect of prone positioning on requirement for invasive mechanical ventilation in patients with COVID 19 induced respiratory failure.|Length of time tolerating prone positioning|PaO2/FiO2 measured before prone positioning|PaO2/FiO2 ratio after 1 hours of prone positioning|SpO2/FiO2 ratio measured before prone positioning|SpO2/FiO2 ratio after 1 hours of prone positioning|Number requiring increase in ventilatory assistance (CPAP+BIPAP+IMV etc)|Work of breathing assessment (Respiratory distress scale)|Changes in bioimpedance measures of lung edema in patients in PP|Use of awake prone positioning as a rescue intervention in control patients","University College Hospital Galway","All","18 Years and older   (Adult, Older Adult)","Not Applicable","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Treatment","APPROVE-CARE-2020","April 11, 2020","March 11, 2021","May 11, 2021","April 15, 2020",,"April 15, 2020","Galway University Hospital, Galway, Ireland",,"https://ClinicalTrials.gov/show/NCT04347941"
1019,"NCT04352699","Outcomes of Urological Surgery During Periods of Social COVID-19 Containemnt: is it Reasonable to Limit Access to Surgical Care for All?",,"Completed","No Results Available","Surgery|Complication of Surgical Procedure|COVID",,"Rate of UCI admission for surgery-related complication|Rate of surgery-specific death|Rate of coronaviruse positive serologies","Centre Hospitalier Universitaire de Nice","All","18 Years and older   (Adult, Older Adult)",,"120","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","20urocovid01","March 15, 2020","April 17, 2020","May 1, 2020","April 20, 2020",,"May 15, 2020","CHU de Nice, Nice, France",,"https://ClinicalTrials.gov/show/NCT04352699"
1020,"NCT04352556","COVID19-hematological Malignancies: the Italian Hematology Alliance",,"Recruiting","No Results Available","SARS-CoV-2 Infection|Hematological Malignancies",,"To evaluate mortality.|To evaluate potential predictive biochemical parameters of mortality.|To evaluate potential predictive HM-related parameters of mortality.|To evaluate COVID severity as predictive parameter of mortality.|Epidemiology of patients with HM infected by SARS-CoV-2with any spectrum of illness severity|Definition of complete clinical picture of COVID-19 in HM|Evolution of HM|To evaluate admission to ICU requiring mechanical ventilation or death per characteristics|Viral dynamics in infected HM patients","Ospedale di Circolo - Fondazione Macchi","All","18 Years and older   (Adult, Older Adult)",,"250","Other","Observational","Observational Model: Cohort|Time Perspective: Other","HM-COVID19-Italy","April 7, 2020","April 30, 2021","April 30, 2021","April 20, 2020",,"May 4, 2020","SC Ematologia Ospedale SS Antonio e Biagio e Cesare Arrigo, Alessandria, Italy|UOC Ematologia, Ospedali Riuniti, Ancona, Italy|UOC Ematologia e Terapia Cellulare, Ospedale Mazzoni, Ascoli Piceno, Italy|SC Oncologia Medica, CRO, Aviano, Italy|SC Ematologia, Policlinico Bari, Bari, Italy|UOC Ematologia, I.R.C.C.S Istituto Tumori Giovanni Paolo II, Bari, Italy|SSD Ematologia, Ospedale degli Infermi, Biella, Italy|UOC Ematologia, Azienda Ospedaliero-Universitaria Policlinico S.Orsola-Malpighi,, Bologna, Italy|Ematologia e Centro Trapianto Midollo Osseo, Ospedale di Bolzano, Bolzano, Italy|UO Ematologia e CTMO, ASST Spedali Civili, Brescia, Italy|UO Ematologia e CTMO, ASST Spedali Civili, Brescia, Italy|UOC Onco-Ematologia ASST Valle Olona, Busto Arsizio, Italy|SC Ematologia e CTMO AZIENDA OSPEDALIERA ""G. BROTZU"" - OSPEDALE ONCOLOGICO BUSINCO, Cagliari, Italy|UOC Ematologia, AOU Policlinico Vittorio Emanuele, Catania, Italy|Ematologia, Ospedale Valduce, Como, Italy|UOC Ematologia, Azienda Ospedaliera di Cosenza, Cosenza, Italy|UO Ematologia e CTMO, ASST Cremona, Cremona, Italy|SC Ematologia Ospedale S. Croce, Cuneo, Italy|UOC, Ematologia Azienda Ospedaliero Universitaria Arcispedale S. Anna, Ferrara, Italy|S.O.D. Ematologia, Azienda Ospedaliero Universitaria Careggi, Firenze, Italy|UOC Ematologia, Policlinico Ospedali Riuniti, Foggia, Italy|IRST-IRCC di Meldola, Forlì, Italy|UO Ematologia, Ospedale Policlinico S.Martino IRCCS, Genova, Italy|UO Ematologia, Ospedale Policlinico San Martino, Genova, Italy|UOC di Ematologia e Trapianto di Cellule Staminali, P.O. Vito Fazzi, Lecce, Italy|UOC di Ematologia, Ospedale di Legnano, Legnano, Italy|UO Dipartimento di Ematologia, USL 6, Livorno, Italy|UOC Oncologia ASST Lodi, Lodi, Italy|UOC Ematologia Azienda Ospedaliera Universitaria ""G.Martino"", Messina, Italy|UO Ematologia, Ospedale dell'Angelo di Mestre, Mestre, Italy|Ematologia, IEO, Milano, Italy|SC Ematologia, Istituto Nazionale dei Tumori, Milano, Italy|SC Ematologia, Ospedale Niguarda, Milano, Italy|UO Ematologia, IRCCS Ospedale San Raffaele, Milano, Italy|UO Servizio di Ematologia e Medicina Trasfusionale, Ospedale Luigi Sacco, Milano, Italy|UOC Ematologia, Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico, Milano, Italy|UO Ematologia Policlinico di Modena, Modena, Italy|UOC Ematologia, Ospedale S. Gerardo, Monza, Italy|SC Ematologia Istituto Nazionale Tumori - IRCCS ""Fondazione G. Pascale"",, Napoli, Italy|UOC Ematologia e Trapianti di Midollo, AOU Federico II, Napoli, Italy|UOC Ematologia, Ospedale Antonio Cardarelli, Napoli, Italy|UOC Ematologia, Azienda Ospedaliero-Universitaria Maggiore della Carità, Novara, Italy|Ospedale san Luigi Gonzaga, Orbassano, Italy|Ematologia Azienda Ospedaliera di Padova, Padova, Italy|UO Ematologia, Policlinico Paolo Giaccone, Palermo, Italy|UOC Ematologia e CTMO, Azienda Ospedaliero-Universitaria di Parma, Parma, Italy|SC Ematologia, Fondazione IRCCS Policlinico San Matteo, Pavia, Italy|SC Ematologia e Trapianto di Midollo Osseo, Azienda Ospedaliera di Perugia, Perugia, Italy|UO Ematologia e CTMO, Azienda Ospedaliera Ospedali Riuniti, Pesaro, Italy|UOC di Ematologia, Ospedale Civile Spirito Santo, Pescara, Italy|UO Ematologia e CTMO, Presidio Ospedaliero di Piacenza, Piacenza, Italy|UO Ematologia, AOU Pisana- Santa Chiara, Pisa, Italy|UO Ematologia dell'Ospedale Santa Maria delle Croci, Ravenna, Italy|UOC Ematologia, Grande Ospedale Metropolitano Bianchi-Melacrino-Morelli, Reggio Calabria, Italy|SC Ematologia, Arcispedale Santa Maria Nuova, Reggio Emilia, Italy|UO Ematologia, Ospedale Infermi, Rimini, Italy|AOU Azienda Ospedaliera Universitaria Sant'Andrea, Roma, Italy|IFO - Ematologia e Trapianto Cellule -Istituto Nazionale del Cancro di Regina Elena, Roma, Italy|SC Ematologia, Fondazione Policlinico Universitario Agostino Gemelli IRCCS, Roma, Italy|UO Ematologia e Trapianti di Cellule Staminali, A.O. S. Camillo-Forlanini, Roma, Italy|UO Ematologia, Policlinico Tor Vergata, Roma, Italy|UOC Ematologia e trapianto di cellule staminali, Policlinico Universitario Campus Bio-Medico, Roma, Italy|UOC Ematologia Policlinico Umberto I, Roma, Italy|UOC Ematologia, Fondazione Policlinico Universitario Agostino Gemelli IRCCS, Roma, Italy|UOC Ematologia- Azienda Ospedaliera San Giovanni Addolorata, Roma, Italy|UO Ematologia, Istituto Clinico Humanitas, Rozzano, Italy|UOC Ematologia e centro trapianti cellule staminali emopoietiche, AOU San Giovanni Di Dio e Ruggi D'aragona, Salerno, Italy|Ematologia ASL Imperiese, Sanremo, Italy|Medicina Interna ed Ematologia, Asl 1, Savona, Italy|UOC Ematologia, Policlinico Santa Maria alle Scotte, Siena, Italy|UOC Ematologia e Trapianto Midollo Osseo, Ospedale S. G. Moscati, Taranto, Italy|SCDU Ematologia e terapie cellulari, Ospedale Mauriziano Umberto I, Torino, Italy|UO Ematologia, Ospedale Universitario Molinette San Giovanni Battista, Torino, Italy|UO Ematologia, Ospedale Universitario Molinette San Giovanni Battista, Torino, Italy|UO Ematologia, Ospedale Civili Ca' Foncello, Treviso, Italy|SC Ematologia, Azienda sanitaria universitaria Giuliano Isontina, Trieste, Italy|Clinica Ematologia, Azienda Ospedaliera-Universitaria Santa Maria della Misericordia, Udine, Italy|UOC Ematologia, ASST Sette Laghi, Osp. Di Circolo e Fondazione Macchi, Varese, Italy|UOC Ematologia, Azienda Ospedaliera Integrata di Verona, Verona, Italy|UOC Ematologia, Azienda Ospedaliera Integrata di Verona, Verona, Italy|UOC Ematologia, Ospedale San Bortolo, Vicenza, Italy",,"https://ClinicalTrials.gov/show/NCT04352556"
