"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
880,"Open Label, Drug-Drug Interaction (DDI) Study of Dupilumab (REGN668/SAR231893) in Patients With Moderate to Severe Atopic Dermatitis (AD)","Completed","No Results Available","Atopic Dermatitis","Drug: Dupilumab|Drug: Midazolam|Drug: Omeprazole|Drug: Warfarin|Drug: Caffeine|Drug: Metoprolol","Regeneron Study Site, Little Rock, Arkansas, United States|Regeneron Study Site, Centennial, Colorado, United States|Regeneron Study Site, Minneapolis, Minnesota, United States|Regeneron Study Site, Berlin, New Jersey, United States|Regeneron Study Site, Raleigh, North Carolina, United States","https://ClinicalTrials.gov/show/NCT02647086"
881,"Study of the Tolerability, Safety, Pharmacokinetics and Pharmacodynamics of Alirocumab SAR236553 (REGN727)","Completed","No Results Available","Hypercholesterolemia","Drug: alirocumab SAR236553 (REGN727)","Sanofi-Aventis Administrative Office, Bridgewater, New Jersey, United States","https://ClinicalTrials.gov/show/NCT01448304"
882,"Ascending Dose Study of the Safety and Tolerability of REGN727 (SAR236553) in Healthy Volunteers","Completed","No Results Available","Healthy Volunteers","Drug: REGN727|Drug: Placebo","Overland Park, Kansas, United States","https://ClinicalTrials.gov/show/NCT01074372"
883,"Ascending Dose Study of the Safety and Tolerability of REGN727(SAR236553) in Healthy Volunteers","Completed","No Results Available","Healthy","Drug: REGN727|Drug: Placebo","Overland Park, Kansas, United States","https://ClinicalTrials.gov/show/NCT01026597"
884,"A Single-Dose Study of the Safety and Tolerability of REGN475(SAR164877) in Healthy Subjects","Completed","No Results Available","Healthy","Biological: REGN475 (SAR164877)","Altoona, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT00856310"
885,"A Study of Alirocumab (REGN727/SAR236553) in Patients With ADH and GOFm of the PCSK9 Gene or LOFm of the apoB Gene","Unknown status","No Results Available","Hypercholesterolemia","Drug: alirocumab|Drug: placebo","Salt Lake City, Utah, United States|Lille, Cedex, France|Nante, Cedex, France|Paris, France","https://ClinicalTrials.gov/show/NCT01604824"
886,"Safety Study of XL765 (SAR245409) in Combination With Erlotinib in Adults With Solid Tumors","Completed","No Results Available","Cancer|Non-Small Cell Lung Cancer","Drug: XL765 (SAR245409)|Drug: erlotinib","Investigational Site Number 168983, Philadelphia, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT00777699"
887,"Nesvacumab (REGN910/ SAR307746) and Aflibercept (""Ziv-aflibercept"" in the U.S.) in Patients With Advanced Solid Malignancies","Completed","No Results Available","Solid Tumors","Drug: nesvacumab (REGN910/ SAR307746)|Drug: aflibercept (ziv-aflibercept)","Indianapolis, Indiana, United States|New York, New York, United States|Oklahoma City, Oklahoma, United States|Philadelphia, Pennsylvania, United States|San Antonio, Texas, United States|Toronto, Canada","https://ClinicalTrials.gov/show/NCT01688960"
888,"Ascending Dose Study of the Safety and Tolerability of REGN668(SAR231893) in Normal Healthy Volunteers","Completed","No Results Available","Healthy","Biological: REGN668","Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT01015027"
889,"A Study of the Safety and Efficacy of REGN475(SAR164877) in Patients With Osteoarthritis of the Knee","Completed","No Results Available","Osteoarthritis of the Knee","Drug: REGN475|Other: Placebo","Anaheim, California, United States|Tampa, Florida, United States|Salt Lake City, Utah, United States","https://ClinicalTrials.gov/show/NCT00944892"
890,"A Safety and Efficacy Study of Ciclesonide Nasal Aerosol in Subjects 6-11 Years With Seasonal Allergic Rhinitis (SAR)","Completed","Has Results","Seasonal Allergic Rhinitis","Drug: Ciclesonide nasal aerosol 37 mcg|Drug: ciclesonide nasal aerosol 74 mcg|Drug: Placebo","Arkansas Pediatric Clinic, Little Rock, Arkansas, United States|San Jose Multispecialty Medical Group, Inc, Baldwin Park, California, United States|WCCT Global, LLC, Costa Mesa, California, United States|Premier Health Research Center, Downey, California, United States|Allergy, Asthma, Brochitis and Immunology Assoc Medical Group, Fountain Valley, California, United States|Pediatric Care Medical Group, Inc., Huntington Beach, California, United States|Pediatric Care Medical Group, Huntington Beach, California, United States|Allergy and Asthma Associates of Southern California, Mission Viejo, California, United States|CHOC, PSF, AMC, Division of Allergy, Asthma, and Immunology, Orange, California, United States|Center for Clinical Trials, LLC, Paramount, California, United States|Peninsula Research Associates, Rolling Hills Estates, California, United States|Capital Allergy & Respiratory Disease Center, Sacramento, California, United States|Allergy Associates Medical Group, San Diego, California, United States|Allergy & Asthma Medical Group and Research Center, APC, San Diego, California, United States|Bensch Research Associates, Stockton, California, United States|Asthma & Allergy Associates, PC, Colorado Springs, Colorado, United States|Storms Clinical Research Institute, Colorado Springs, Colorado, United States|Colorado Allergy and Asthma Centers, PC, Denver, Colorado, United States|Northeast Georgia Research Center, Gainesville, Georgia, United States|DataQuest Medical Research, LLC, Lawerenceville, Georgia, United States|Atlanta Allergy & Astma Clinic, Marietta, Georgia, United States|Aeroallergy Research Laboratories of Savannah, Inc, Savannah, Georgia, United States|Clinical Research Atlanta, Stockbridge, Georgia, United States|Alzein Pediatrics, Evergreen Park, Illinois, United States|Sneeze, Weeze, & Itch Associates, Normal, Illinois, United States|Gordon D. Raphael, MD, Berthesda, Maryland, United States|Clinical Research Institute, Plymouth, Minnesota, United States|Creighton University Medical Center, Omaha, Nebraska, United States|Atlantic Research Center, LLC, Ocean, New Jersey, United States|North Carolina Clinical Research, Raleigh, North Carolina, United States|Catalyst Medical Center, Fargo, North Dakota, United States|Toledo Center for Clinical Research, Sylvania, Ohio, United States|Baker Allergy Asthma and Dermatology Research Center LLC, Lake Oswego, Oregon, United States|Clinical Research Institute of Southern Oregon, PC, Medford, Oregon, United States|Allergy Associates Research Center, Portland, Oregon, United States|Asthma and Allergy Research Associates, Upland, Pennsylvania, United States|Asthma, Nasal Disease & Allergy Research Center of New England, Providence, Rhode Island, United States|National Allergy, Asthma, and Uticaria Centers of Charleston, PA, Charleston, South Carolina, United States|Spartanburg Medical Research, Spartanburg, South Carolina, United States|DCT - Anchor, LLC dba Discovery Clinical Trials, Arlington, Texas, United States|Discovery Clinical Trials, Arlington, Texas, United States|Benchmark Research, Austin, Texas, United States|Isis Clinical Research, LLC, Austin, Texas, United States|Sirius Clinical Research LLC, Austin, Texas, United States|TTS Research Center, Boeme, Texas, United States|Research Across America, Carroliton, Texas, United States|Dallas Allergy Immunology Research, Dallas, Texas, United States|Pharmaceutical Research and Consulting, Dallas, Texas, United States|Western Sky Medical Research, El Paso, Texas, United States|Benchmark Research, Fort Worth, Texas, United States|Kerrville Research Associates, Kerrville, Texas, United States|Live Oak Allergy and Asthma Clinic, Live Oak, Texas, United States|Central Texas Health Research, New Braunfels, Texas, United States|ACRC Trials, Plano, Texas, United States|North Texas Family Medicine, Plano, Texas, United States|Benchmark Research, San Angelo, Texas, United States|Sun Research Institute, San Antonio, Texas, United States|DCT - Barlite Dba Discovery Clinical Trials, San Antonio, Texas, United States|Allergy and Asthma Research Center, PA, San Antonio, Texas, United States|San Antonio Ear, Nose & Throat Research, San Antonio, Texas, United States|Sylvana Research Associates, San Antonio, Texas, United States|DCT-Westover Hills, Dba Discovery Clinical Trials, San Antonio, Texas, United States|Pediatric Healthcare of Northwest Houston, Tomball, Texas, United States|Allergy & Asthma Care of Waco, Waco, Texas, United States|Allergy Asthma Research Institute, Waco, Texas, United States|Ericksen Research and Development, Clinton, Utah, United States","https://ClinicalTrials.gov/show/NCT01458275"
891,"Study of Efficacy and Safety of MAS825 in Patients With COVID-19","Not yet recruiting","No Results Available","COVID-19 Pneumonia, Impaired Respiratory Function","Drug: MAS825|Drug: Matching placebo",,"https://ClinicalTrials.gov/show/NCT04382651"
892,"Study of the Safety and Pharmacokinetics of XL765 (SAR245409) in Adults With Solid Tumors","Completed","No Results Available","Cancer","Drug: XL765 (SAR245409)","Investigational Site Number 1302, Detroit, Michigan, United States|Investigational Site Number 1435, Omaha, Nebraska, United States|Investigational Site Number 1402, San Antonio, Texas, United States|Investigational Site Number 3411, Barcelona, Spain","https://ClinicalTrials.gov/show/NCT00485719"
893,"Study of the Safety and Efficacy of REGN475(SAR164877) in Patients With Pain Resulting From Thermal Injury","Withdrawn","No Results Available","Thermal Injury Pain","Drug: R475|Drug: Placebo","Tampa, Florida, United States","https://ClinicalTrials.gov/show/NCT01053702"
894,"A Study to Determine the Safety and Tolerability of Dupilumab (REGN668/SAR231893) in Patients Aged ≥6 to <18 Years With Atopic Dermatitis (Eczema)","Completed","No Results Available","Atopic Dermatitis","Drug: Dupilumab","Markham, Ontario, Canada|Peterborough, Ontario, Canada|Waterloo, Ontario, Canada|Windsor, Ontario, Canada|Kutna Hora, Czech Republic|Prague, Czech Republic|Dresden, Germany|Frankfurt, Germany|Gera, Germany|Hamburg, Germany|Kiel, Germany|Luebeck, Germany|Muenster, Germany|Munich, Germany|Tuebingen, Germany|Kaposvar, Hungary|Miskolc, Hungary|Szeged, Hungary|Szolnok, Hungary|Katowice, Poland|Krakow, Poland|Lodz, Poland|Warszawa, Poland|Wroclaw, Poland|Manchester, United Kingdom|Sheffield, United Kingdom","https://ClinicalTrials.gov/show/NCT02407756"
895,"A Multiple-dose Study of the Safety and Tolerability of REGN88(SAR153191) in Rheumatoid Arthritis Subjects","Completed","No Results Available","Rheumatoid Arthritis","Biological: REGN88","Santa Maria, California, United States|Boca Raton, Florida, United States|Clearwater, Florida, United States|Daytona Beach, Florida, United States|Delray Beach, Florida, United States|Palm Harbor, Florida, United States|Idaho Falls, Idaho, United States|Worcester, Massachusetts, United States|Lansing, Michigan, United States|Flowood, Mississippi, United States|Kalamzaoo, Missouri, United States|St. Louis, Missouri, United States|Reno, Nevada, United States|Charlotte, North Carolina, United States|Cincinnati, Ohio, United States|Toledo, Ohio, United States|Oklahoma City, Oklahoma, United States|Duncansville, Pennsylvania, United States|Greenville, South Carolina, United States|Orangeburg, South Carolina, United States|Hixson, Tennessee, United States|Austin, Texas, United States|Houston, Texas, United States|San Antonio, Texas, United States","https://ClinicalTrials.gov/show/NCT01011959"
896,"Study to Assess the Efficacy and Long-term Safety of Dupilumab (REGN668/SAR231893) in Adult Participants With Moderate-to-Severe Atopic Dermatitis","Completed","Has Results","Atopic Dermatitis","Drug: Dupilumab|Drug: Placebo (for Dupilumab)|Other: Topical Corticosteroid (TCS)","Phoenix, Arizona, United States|Hot Springs, Arkansas, United States|Little Rock, Arkansas, United States|Encinitas, California, United States|Oceanside, California, United States|Palmdale, California, United States|San Diego, California, United States|New Haven, Connecticut, United States|Trumbull, Connecticut, United States|Edgewater, Florida, United States|Lake Worth, Florida, United States|Miami Lakes, Florida, United States|Orlando, Florida, United States|Tampa, Florida, United States|Alpharetta, Georgia, United States|Columbus, Georgia, United States|Savannah, Georgia, United States|West Dundee, Illinois, United States|Carmel, Indiana, United States|New Albany, Indiana, United States|Rockville, Maryland, United States|Ann Arbor, Michigan, United States|Bay City, Michigan, United States|Edina, Minnesota, United States|Fridley, Minnesota, United States|Saint Louis, Missouri, United States|Omaha, Nebraska, United States|Henderson, Nevada, United States|Verona, New Jersey, United States|Albuquerque, New Mexico, United States|Corning, New York, United States|New York, New York, United States|Smithtown, New York, United States|Stony Brook, New York, United States|Cincinnati, Ohio, United States|Norman, Oklahoma, United States|Oklahoma City, Oklahoma, United States|Lake Oswego, Oregon, United States|Portland, Oregon, United States|Exton, Pennsylvania, United States|Hazleton, Pennsylvania, United States|Philadelphia, Pennsylvania, United States|Austin, Texas, United States|Dallas, Texas, United States|West Jordan, Utah, United States|South Burlington, Vermont, United States|Henrico, Virginia, United States|Norfolk, Virginia, United States|Richmond, Virginia, United States|Spokane, Washington, United States|Phillip, Australian Capital Territory, Australia|Kogarah, New South Wales, Australia|Benowa, Queensland, Australia|Dulwich, Queensland, Australia|Hectorville, South Australia, Australia|Carlton, Victoria, Australia|Surrey, British Columbia, Canada|Vancouver, British Columbia, Canada|Ajax, Ontario, Canada|Barrie, Ontario, Canada|Hamilton, Ontario, Canada|Markham, Ontario, Canada|North Bay, Ontario, Canada|Oakville, Ontario, Canada|Ottawa, Ontario, Canada|Peterborough, Ontario, Canada|Richmond Hill, Ontario, Canada|Toronto, Ontario, Canada|Waterloo, Ontario, Canada|Windsor, Ontario, Canada|Drummondville, Quebec, Canada|Quebec, Canada|Hradec Kralove, Czechia|Nachod, Czechia|Praha 10, Czechia|Praha 5, Czechia|Svitavy, Czechia|Usti nad Labem, Czechia|Oroshaza, Békés, Hungary|Szolnok, Jász-Nagykun-Szolnok, Hungary|Veszprem, Veszprém, Hungary|Budapest, Hungary|Ancona, Italy|Bologna, Italy|Brescia, Italy|Novara, Italy|Pavia, Italy|Perugia, Italy|Roma, Italy|Kitakyushu, Fukuoka, Japan|Amagasaki, Hyôgo, Japan|Yokohama, Kanagawa, Japan|Kamimashiki-gun, Kumamoto, Japan|Saitama-shi, Saitama, Japan|Yaizu, Shizuoka, Japan|Koto-ku, Tokyo, Japan|Setagaya-ku, Tokyo, Japan|Adachi-ku, Tôkyô, Japan|Chiyoda-ku, Tôkyô, Japan|Nakano-ku, Tôkyô, Japan|Nerima-ku, Tôkyô, Japan|Shibuya-ku, Tôkyô, Japan|Shinagawa-ku, Tôkyô, Japan|Shinjuku-ku, Tôkyô, Japan|Suginami-ku, Tôkyô, Japan|Fukuoka, Japan|Bucheon-si, Gyeonggido, Korea, Republic of|Suwon, Gyeonggido, Korea, Republic of|Seoul, Seoul Teugbyeolsi, Korea, Republic of|Seodaemun-gu, Korea, Republic of|Uijeongbu-si, Korea, Republic of|Breda, Noord-Brabant, Netherlands|Amsterdam, Noord-Holland, Netherlands|Rotterdam, Zuid-Holland, Netherlands|Groningen, Netherlands|Utrecht, Netherlands|Dunedin, South Island, New Zealand|Auckland, New Zealand|Wroclaw, Dolnośląskie, Poland|Lublin, Lubelskie, Poland|Warszawa, Mazowieckie, Poland|Krakow, Małopolskie, Poland|Strzelce Opolskie, Opolskie, Poland|Iwonicz Zdroj, Podkarpackie, Poland|Bialystok, Podlaskie, Poland|Gdansk, Pomorskie, Poland|Poznan, Wielkopolskie, Poland|Szczecin, Zachodniopomorskie, Poland|Gdynia, Poland|Łódź, Łódzkie, Poland|Katowice, Śląskie, Poland|Skarzysko-Kamienna, Świętokrzyskie, Poland|Brasov, Braşov, Romania|Bucuresti, Bucureşti, Romania|Cluj-Napoca, Cluj, Romania|Craiova, Dolj, Romania|Targu Mures, Mureş, Romania|Barcelona, Cataluña, Spain|Alicante, Spain|Madrid, Spain|Dundee, Angus, United Kingdom|Edgbaston, Birmingham, United Kingdom|Glasgow, Glasgow City, United Kingdom|Sidcup, Kent, United Kingdom|Northwood, Middlesex, United Kingdom|Liverpool, United Kingdom|Manchester, United Kingdom|Reading, United Kingdom|Salford, United Kingdom","https://ClinicalTrials.gov/show/NCT02260986"
